Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
151,2.427109474,-1.253267848,-0.234429239,34.35151761,FALSE,FALSE,0.329050818,,,,,,,,
151,2.421739939,-1.087047111,-0.279931914,34.83803245,FALSE,FALSE,0.283888465,,,,,,,,
,,,,,,,,,,,,,,,
152,2.518374621,-0.816462607,0.549184936,35.16657405,FALSE,FALSE,0.33282384,,2.518,-0.816,0.549,35.167,FALSE,FALSE,0.33282384
,,,,,,,,,,,,,,,
153,2.545466307,0.553908051,-0.43446966,36.93982594,TRUE,TRUE,0.446904189,,2.326,0.367,0.223,34.803,FALSE,TRUE,0.209487999
153,2.542648427,0.611551366,-0.374151937,36.74149239,TRUE,TRUE,0.384702695,,,,,,,,
153,2.326067529,0.366635315,0.223345296,34.80288352,FALSE,TRUE,0.209487999,,,,,,,,
,,,,,,,,,,,,,,,
154,2.453868388,0.127996575,0.060570581,35.89157302,TRUE,TRUE,0.324629962,,2.454,0.128,0.061,35.892,TRUE,TRUE,0.324629962
154,1.843986247,-1.97619547,0.922446136,35.07410388,FALSE,FALSE,1.211144195,,,,,,,,
154,1.841585231,-2.027817809,0.916296285,35.19564146,FALSE,FALSE,0.581647514,,,,,,,,
,,,,,,,,,,,,,,,
155,2.667792559,-0.077830353,0.531303323,34.47606388,FALSE,TRUE,0.224422705,,2.664,-0.041,0.609,34.209,TRUE,FALSE,0.348737753
155,2.664009918,-0.041420997,0.608538123,34.20870256,TRUE,FALSE,0.348737753,,,,,,,,
,,,,,,,,,,,,,,,
156,2.220122494,0.041661923,0.842183693,33.59296457,TRUE,FALSE,0.293836036,,2.22,0.042,0.842,33.593,TRUE,FALSE,0.293836036
156,2.078668673,1.202947617,1.449076173,33.79447938,FALSE,FALSE,0.803637231,,,,,,,,
,,,,,,,,,,,,,,,
157,2.703723306,-0.503818385,1.249808322,32.16427242,TRUE,TRUE,0.1469826,,2.334,0.586,0.427,35.689,TRUE,TRUE,0.411120461
157,2.440857694,1.009191723,1.778964914,32.95079386,TRUE,FALSE,0.884358885,,,,,,,,
157,2.333684037,0.586248781,0.426618393,35.68894899,TRUE,TRUE,0.411120461,,,,,,,,
157,2.313455808,0.482202268,0.633167268,35.19957911,FALSE,TRUE,0.48020214,,,,,,,,
157,2.307027619,1.760017162,1.740109093,32.29052909,TRUE,FALSE,0.608125541,,,,,,,,
157,2.30445196,0.673729472,0.808436276,35.09081639,FALSE,TRUE,1.271892315,,,,,,,,
157,2.268257454,0.307048451,0.757893679,34.60613173,FALSE,TRUE,0.347550236,,,,,,,,
157,2.265075852,0.444726361,0.867434326,34.55764477,FALSE,TRUE,1.10362238,,,,,,,,
157,2.252475368,0.046065527,0.817547097,34.0326908,TRUE,FALSE,0.554929327,,,,,,,,
